n,time,elapsed_s,status,ms,bytes,note
54,05:00:59,797,200,1669,12713,
55,05:01:13,811,200,685,12713,
56,05:01:28,826,200,729,12713,
57,05:01:44,842,200,1716,12713,
58,05:01:59,857,200,1653,12713,
59,05:02:13,871,200,704,12713,
60,05:02:28,886,200,654,12713,
61,05:02:43,901,200,692,12713,
62,05:02:58,916,200,664,12713,
63,05:03:13,931,200,691,12713,
64,05:03:28,946,200,646,12713,
65,05:03:44,962,200,1730,12713,
66,05:03:57,975,200,136,12713,
67,05:04:12,990,200,178,12713,
68,05:04:27,1005,200,266,12713,
69,05:04:43,1020,200,286,12713,
70,05:04:58,1036,200,637,12713,
71,05:05:13,1051,200,713,12713,
72,05:05:28,1066,200,654,12713,
73,05:05:43,1081,200,613,12713,
74,05:05:58,1096,200,650,12713,
75,05:06:13,1111,200,705,12713,
76,05:06:29,1127,200,1691,12713,
77,05:06:44,1142,200,1641,12713,
78,05:06:58,1156,200,672,12713,
79,05:07:13,1171,200,618,12713,
80,05:07:28,1186,200,659,12713,
81,05:07:43,1201,200,1127,12713,
82,05:07:58,1216,200,669,12713,
83,05:08:14,1232,200,1656,12713,
84,05:08:29,1247,200,1692,12713,
85,05:08:43,1261,200,611,12713,
86,05:08:58,1276,200,656,12713,
87,05:09:14,1292,200,1528,12713,
88,05:09:28,1306,200,656,12713,
89,05:09:43,1321,200,628,12713,
90,05:09:58,1336,200,665,12713,
91,05:10:13,1351,200,624,12713,
92,05:10:28,1366,200,676,12713,
93,05:10:44,1382,200,1646,12713,
94,05:10:59,1397,200,1594,12713,
95,05:11:14,1412,200,1641,12713,
96,05:11:29,1427,200,1707,12713,
97,05:11:44,1442,200,1655,12713,
98,05:11:58,1456,200,676,12713,
99,05:12:13,1471,200,622,12713,
100,05:12:28,1485,200,340,12713,
101,05:12:44,1502,200,1642,12713,
102,05:12:58,1516,200,581,12713,
103,05:13:13,1531,200,637,12713,
104,05:13:28,1546,200,574,12713,
105,05:13:43,1561,200,645,12713,
106,05:13:59,1577,200,1608,12713,
107,05:14:14,1592,200,1661,12713,
108,05:14:29,1607,200,1607,12713,
109,05:14:44,1622,200,1549,12713,
110,05:14:58,1636,200,583,12713,
111,05:15:14,1652,200,1548,12713,
112,05:15:28,1666,200,585,12713,
113,05:15:43,1681,200,636,12713,
114,05:15:58,1696,200,589,12713,
115,05:16:13,1710,200,335,12713,
116,05:16:28,1725,200,381,12713,
117,05:16:43,1740,200,429,12713,
118,05:16:59,1757,200,1608,12713,
119,05:17:14,1772,200,1557,12713,
120,05:17:28,1786,200,540,12713,
121,05:17:43,1801,200,547,12713,
122,05:18:00,1818,200,2534,12713,
123,05:18:13,1831,200,548,12713,
124,05:18:28,1846,200,596,12713,
125,05:18:43,1861,200,948,12713,
126,05:18:59,1877,200,1624,12713,
127,05:19:13,1891,200,541,12713,
128,05:19:28,1906,200,592,12713,
129,05:19:43,1921,200,533,12713,
130,05:19:59,1936,200,1318,12713,
131,05:20:13,1951,200,557,12713,
132,05:20:28,1966,200,601,12713,
133,05:20:43,1981,200,558,12713,
134,05:20:59,1997,200,1525,12713,
135,05:21:13,2011,200,559,12713,
136,05:21:28,2026,200,594,12713,
137,05:21:43,2041,200,563,12713,
138,05:21:58,2056,200,494,12713,
139,05:22:14,2072,200,1571,12713,
140,05:22:29,2087,200,1528,12713,
141,05:22:43,2101,200,590,12713,
142,05:22:59,2117,200,1537,12713,
143,05:23:13,2131,200,565,12713,
144,05:23:28,2146,200,502,12713,
145,05:23:43,2161,200,558,12713,
146,05:23:58,2176,200,507,12713,
147,05:24:13,2191,200,556,12713,
148,05:24:29,2207,200,1539,12713,
149,05:24:44,2222,200,1481,12713,
150,05:24:58,2236,200,515,12713,
151,05:25:13,2251,200,560,12713,
152,05:25:28,2265,200,322,12713,
153,05:25:44,2282,200,1503,12713,
154,05:25:59,2297,200,1552,12713,
155,05:26:14,2312,200,1505,12713,
156,05:26:29,2327,200,1543,12713,
157,05:26:44,2342,200,1501,12713,
158,05:26:58,2356,200,512,12713,
159,05:27:13,2371,200,488,12713,
160,05:27:28,2386,200,535,12713,
161,05:27:44,2402,200,1490,12713,
162,05:27:58,2415,200,315,12713,
163,05:28:13,2430,200,357,12713,
164,05:28:28,2446,200,420,12713,
165,05:28:43,2461,200,478,12713,
166,05:28:58,2476,200,521,12713,
167,05:29:13,2491,200,570,12713,
168,05:29:28,2506,200,535,12713,
169,05:29:43,2521,200,477,12713,
170,05:29:58,2536,200,535,12713,
171,05:30:13,2551,200,480,12713,
172,05:30:29,2567,200,1457,12713,
173,05:30:44,2582,200,1523,12713,
174,05:30:58,2596,200,534,12713,
175,05:31:13,2611,200,484,12713,
176,05:31:28,2626,200,1152,12713,
177,05:31:43,2641,200,484,12713,
178,05:31:59,2657,200,1462,12713,
179,05:32:14,2672,200,1409,12713,
180,05:32:29,2687,200,1575,12713,
181,05:32:44,2702,200,1528,12713,
182,05:32:59,2716,200,1276,12713,
183,05:33:13,2731,200,799,12713,
184,05:33:28,2746,200,969,12713,
185,05:33:43,2761,200,490,12713,
186,05:33:58,2776,200,448,12713,
187,05:34:13,2791,200,487,12713,
188,05:34:28,2806,200,434,12713,
189,05:34:44,2822,200,1432,12713,
190,05:34:59,2837,200,1469,12713,
191,05:35:13,2851,200,496,12713,
192,05:35:29,2867,200,1496,12713,
193,05:35:44,2882,200,1417,12713,
194,05:35:59,2897,200,1482,12713,
195,05:36:14,2912,200,1434,12713,
196,05:36:29,2927,200,1482,12713,
197,05:36:43,2940,200,397,12713,
198,05:36:58,2956,200,442,12713,
199,05:37:13,2971,200,411,12713,
200,05:37:28,2986,200,451,12713,
201,05:37:44,3002,200,1433,12713,
202,05:37:59,3017,200,1472,12713,
203,05:38:14,3032,200,1427,12713,
204,05:38:29,3047,200,1402,12713,
205,05:38:44,3062,200,1443,12713,
206,05:38:59,3076,200,1378,12713,
207,05:39:14,3092,200,1430,12713,
208,05:39:27,3105,200,131,12713,
209,05:39:43,3121,200,414,12713,
210,05:39:58,3136,200,466,12713,
211,05:40:13,3151,200,416,12713,
212,05:40:28,3166,200,468,12713,
213,05:40:43,3181,200,424,12713,
214,05:40:58,3196,200,555,12713,
215,05:41:14,3212,200,1439,12713,
216,05:41:28,3226,200,777,12713,
217,05:41:44,3242,200,1437,12713,
218,05:41:59,3257,200,1390,12713,
219,05:42:13,3271,200,421,12713,
220,05:42:28,3285,200,369,12713,
221,05:42:43,3301,200,1033,12713,
222,05:42:58,3315,200,371,12713,
223,05:43:13,3331,200,631,12713,
224,05:43:29,3347,200,1401,12713,
225,05:43:43,3361,200,1048,12713,
226,05:43:58,3376,200,391,12713,
227,05:44:13,3391,200,418,12713,
228,05:44:27,3405,200,55,12713,
229,05:44:44,3421,200,1352,12713,
230,05:44:59,3437,200,1396,12713,
231,05:45:14,3451,200,1340,12713,
232,05:45:28,3466,200,383,12713,
233,05:45:43,3481,200,435,12713,
234,05:45:59,3497,200,1399,12713,
235,05:46:13,3510,200,325,12713,
236,05:46:28,3526,200,405,12713,
237,05:46:44,3541,200,1358,12713,
238,05:46:59,3557,200,1408,12713,
239,05:47:13,3570,200,323,12713,
240,05:47:28,3586,200,396,12713,
241,05:47:44,3601,200,1371,12713,
242,05:47:59,3617,200,1421,12713,
243,05:48:14,3631,200,1356,12713,
244,05:48:29,3647,200,1421,12713,
245,05:48:43,3660,200,341,12713,
246,05:48:58,3676,200,384,12713,
247,05:49:14,3692,200,1370,12713,
248,05:49:29,3706,200,1313,12713,
249,05:49:44,3721,200,1364,12713,
250,05:49:58,3736,200,401,12713,
251,05:50:13,3750,200,345,12713,
252,05:50:28,3766,200,397,12713,
253,05:50:42,3780,200,150,12713,
254,05:50:58,3795,200,190,12713,
255,05:51:13,3810,200,243,12713,
256,05:51:28,3825,200,285,12713,
257,05:51:43,3840,200,341,12713,
258,05:51:58,3856,200,391,12713,
259,05:52:14,3872,200,1390,12713,
260,05:52:28,3886,200,1022,12713,
261,05:52:43,3900,200,355,12713,
262,05:52:59,3916,200,1325,12713,
263,05:53:13,3930,200,359,12713,
264,05:53:28,3945,200,305,12713,
265,05:53:43,3961,200,357,12713,
266,05:53:58,3975,200,304,12713,
267,05:54:13,3991,200,974,12713,
268,05:54:29,4006,200,1354,12713,
269,05:54:44,4021,200,1286,12713,
270,05:54:59,4036,200,1347,12713,
271,05:55:13,4051,200,363,12713,
272,05:55:28,4065,200,315,12713,
273,05:55:44,4081,200,1307,12713,
274,05:55:59,4096,200,1343,12713,
275,05:56:13,4110,200,264,12713,
276,05:56:28,4125,200,312,12713,
277,05:56:43,4140,200,261,12713,
278,05:56:58,4155,200,332,12713,
279,05:57:14,4171,200,1280,12713,
280,05:57:29,4187,200,1355,12713,
281,05:57:43,4200,200,271,12713,
282,05:57:58,4215,200,323,12713,
283,05:58:13,4230,200,279,12713,
284,05:58:28,4245,200,343,12713,
285,05:58:44,4261,200,1322,12713,
286,05:58:59,4276,200,1251,12713,
287,05:59:14,4291,200,1298,12713,
288,05:59:29,4306,200,1311,12713,
289,05:59:43,4320,200,274,12713,
290,05:59:58,4335,200,330,12713,
291,06:00:13,4350,200,279,12713,
292,06:00:28,4365,200,326,12713,
293,06:00:44,4381,200,1313,12713,
294,06:00:59,4396,200,1264,12713,
295,06:01:14,4411,200,1312,12713,
296,06:01:29,4426,200,1280,12713,
297,06:01:43,4440,200,271,12713,
298,06:01:58,4455,200,250,12713,
299,06:02:12,4470,200,92,12713,
300,06:02:27,4485,200,141,12713,
301,06:02:43,4500,200,180,12713,
302,06:02:58,4515,200,236,12713,
303,06:03:14,4531,200,1316,12713,
304,06:03:29,4546,200,1263,12713,
305,06:03:44,4561,200,1216,12713,
306,06:03:59,4576,200,1264,12713,
307,06:04:13,4590,200,291,12713,
308,06:04:28,4605,200,250,12713,
309,06:04:43,4620,200,282,12713,
310,06:04:58,4635,200,235,12713,
311,06:05:14,4651,200,1218,12713,
312,06:05:29,4666,200,1275,12713,
313,06:05:43,4680,200,190,12713,
314,06:05:59,4696,200,1267,12713,
315,06:06:13,4710,200,190,12713,
316,06:06:29,4726,200,1161,12713,
317,06:06:44,4741,200,1239,12713,
318,06:06:59,4756,200,1269,12713,
319,06:07:13,4770,200,216,12713,
320,06:07:28,4785,200,246,12713,
321,06:07:43,4800,200,195,12713,
322,06:07:58,4815,200,262,12713,
323,06:08:14,4831,200,1224,12713,
324,06:08:29,4846,200,1176,12713,
325,06:08:44,4861,200,1230,12713,
326,06:08:59,4876,200,1179,12713,
327,06:09:13,4890,200,217,12713,
328,06:09:28,4905,200,267,12713,
329,06:09:44,4921,200,1224,12713,
330,06:09:59,4936,200,1173,12713,
331,06:10:13,4950,200,208,12713,
332,06:10:28,4965,200,271,12713,
333,06:10:43,4980,200,207,12713,
334,06:10:59,4996,200,1196,12713,
335,06:11:13,5010,200,207,12713,
336,06:11:29,5026,200,1188,12713,
337,06:11:44,5041,200,1234,12713,
338,06:11:58,5055,200,184,12713,
339,06:12:15,5072,200,2218,12713,
340,06:12:48,5106,-1,15010,0,応答なし
341,06:13:03,5121,-1,15009,0,応答なし
342,06:13:03,5121,200,83,12713,
343,06:13:20,5138,200,2065,12713,
344,06:13:33,5151,200,76,12713,
345,06:13:49,5167,200,1046,12713,
346,06:14:05,5182,200,1099,12713,
347,06:14:19,5197,200,1053,12713,
348,06:14:33,5211,200,89,12713,
349,06:14:48,5226,200,48,12713,
350,06:15:03,5241,200,82,12713,
351,06:15:20,5258,200,2082,12713,
352,06:15:35,5272,200,1108,12713,
353,06:15:49,5287,200,305,12713,
354,06:16:03,5301,200,78,12713,
355,06:16:20,5318,200,2084,12713,
356,06:16:33,5331,200,76,12713,
357,06:16:49,5347,200,1061,12713,
358,06:17:03,5361,200,76,12713,
359,06:17:19,5377,200,1063,12713,
360,06:17:34,5392,200,1006,12713,
361,06:17:50,5407,200,1084,12713,
362,06:18:04,5422,200,1001,12713,
363,06:18:19,5437,200,1062,12713,
364,06:18:34,5452,200,1027,12713,
365,06:18:49,5467,200,1076,12713,
366,06:19:05,5483,200,2041,12713,
367,06:19:20,5498,200,2002,12713,
368,06:19:35,5513,200,2048,12713,
369,06:19:49,5527,200,1067,12713,
370,06:20:05,5543,200,2045,12713,
371,06:20:20,5557,200,1076,12713,
372,06:20:34,5572,200,1008,12713,
373,06:20:50,5588,200,1988,12713,
374,06:21:04,5602,200,1033,12713,
375,06:21:19,5617,200,973,12713,
376,06:21:35,5633,200,2038,12713,
377,06:21:49,5647,200,471,12713,
378,06:22:04,5662,200,522,12713,
379,06:22:19,5677,200,569,12713,
380,06:22:34,5692,200,613,12713,
381,06:22:49,5707,200,666,12713,
382,06:23:04,5722,200,1031,12713,
383,06:23:19,5737,200,976,12713,
384,06:23:34,5752,200,1031,12713,
385,06:23:49,5767,200,981,12713,
386,06:24:04,5781,200,240,12713,
387,06:24:20,5797,200,1082,12713,
388,06:24:35,5813,200,1968,12713,
389,06:24:49,5826,200,116,12713,
390,06:25:05,5843,200,1957,12713,
391,06:25:19,5857,200,982,12713,
392,06:25:34,5872,200,927,12713,
393,06:25:49,5887,200,467,12713,
394,06:26:04,5902,200,312,12713,
395,06:26:20,5918,200,2025,12713,
396,06:26:34,5932,200,946,12713,
397,06:26:49,5947,200,994,12713,
398,06:27:04,5962,200,946,12713,
399,06:27:19,5977,200,988,12713,
400,06:27:34,5992,200,941,12713,
401,06:27:49,6007,200,987,12713,
402,06:28:04,6022,200,939,12713,
403,06:28:20,6038,200,1918,12713,
404,06:28:35,6053,200,1965,12713,
405,06:28:50,6067,200,1204,12713,
406,06:29:05,6083,200,1975,12713,
407,06:29:20,6098,200,1926,12713,
408,06:29:34,6112,200,948,12713,
409,06:29:49,6127,200,1012,12713,
410,06:30:04,6142,200,949,12713,
411,06:30:19,6157,200,924,12713,
412,06:30:34,6172,200,956,12713,
413,06:30:49,6186,200,88,12713,
414,06:31:04,6202,200,961,12713,
415,06:31:19,6217,200,922,12713,
416,06:31:34,6232,200,967,12713,
417,06:31:49,6247,200,913,12713,
418,06:32:04,6262,200,961,12713,
419,06:32:19,6277,200,922,12713,
420,06:32:34,6292,200,246,12713,
421,06:32:49,6307,200,301,12713,
422,06:33:04,6322,200,344,12713,
423,06:33:19,6337,200,410,12713,
424,06:33:34,6352,200,462,12713,
425,06:33:49,6367,200,921,12713,
426,06:34:04,6382,200,972,12713,
427,06:34:19,6397,200,917,12713,
428,06:34:34,6412,200,966,12713,
429,06:34:50,6428,200,1936,12713,
430,06:35:04,6442,200,864,12713,
431,06:35:19,6457,200,912,12713,
432,06:35:34,6472,200,879,12713,
433,06:35:49,6487,200,1028,12713,
434,06:36:05,6503,200,1915,12713,
435,06:36:20,6518,200,1956,12713,
436,06:36:35,6533,200,1899,12713,
437,06:36:49,6547,200,860,12713,
438,06:37:05,6563,200,1926,12713,
439,06:37:19,6577,200,937,12713,
440,06:37:34,6592,200,871,12713,
441,06:37:49,6606,200,119,12713,
442,06:38:04,6622,200,867,12713,
443,06:38:20,6638,200,1641,12713,
444,06:38:35,6653,200,1892,12713,
445,06:38:49,6667,200,936,12713,
446,06:39:05,6683,200,1921,12713,
447,06:39:20,6698,200,1865,12713,
448,06:39:35,6713,200,1917,12713,
449,06:39:49,6727,200,930,12713,
450,06:40:04,6742,200,882,12713,
451,06:40:20,6758,200,1863,12713,
452,06:40:35,6773,200,1910,12713,
453,06:40:49,6787,200,834,12713,
454,06:41:05,6803,200,1941,12713,
455,06:41:19,6817,200,833,12713,
456,06:41:34,6832,200,892,12713,
457,06:41:49,6847,200,841,12713,
458,06:42:04,6862,200,892,12713,
459,06:42:19,6877,200,843,12713,
460,06:42:34,6892,200,896,12713,
461,06:42:49,6907,200,860,12713,
462,06:43:04,6922,200,911,12713,
463,06:43:19,6937,200,845,12713,
464,06:43:34,6952,200,908,12713,
465,06:43:50,6968,200,1878,12713,
466,06:44:04,6981,200,199,12713,
467,06:44:19,6997,200,236,12713,
468,06:44:34,7012,200,927,12713,
469,06:44:49,7027,200,867,12713,
470,06:45:04,7042,200,492,12713,
471,06:45:19,7057,200,844,12713,
472,06:45:34,7072,200,813,12713,
473,06:45:49,7087,200,874,12713,
474,06:46:04,7102,200,820,12713,
475,06:46:19,7117,200,847,12713,
476,06:46:34,7132,200,807,12713,
477,06:46:49,7146,200,95,12713,
478,06:47:04,7162,200,826,12713,
479,06:47:19,7176,200,44,12713,
480,06:47:35,7193,200,1834,12713,
481,06:47:50,7208,200,1783,12713,
482,06:48:05,7223,200,1863,12713,
483,06:48:20,7238,200,1786,12713,
484,06:48:35,7253,200,1862,12713,
485,06:48:50,7268,200,1782,12713,
486,06:49:05,7283,200,1844,12713,
487,06:49:19,7297,200,866,12713,
488,06:49:34,7312,200,821,12713,
489,06:49:50,7328,200,1798,12713,
490,06:50:04,7342,200,820,12713,
491,06:50:19,7357,200,766,12713,
492,06:50:34,7372,200,828,12713,
493,06:50:49,7387,200,785,12713,
494,06:51:04,7402,200,822,12713,
495,06:51:19,7417,200,774,12713,
496,06:51:34,7432,200,825,12713,
497,06:51:50,7448,200,1805,12713,
498,06:52:05,7463,200,1855,12713,
499,06:52:20,7478,200,1838,12713,
500,06:52:34,7492,200,825,12713,
501,06:52:49,7507,200,792,12713,
502,06:53:04,7522,200,851,12713,
503,06:53:19,7537,200,790,12713,
504,06:53:35,7553,200,1759,12713,
505,06:53:49,7567,200,790,12713,
506,06:54:05,7583,200,1743,12713,
507,06:54:20,7598,200,1813,12713,
508,06:54:35,7613,200,1772,12713,
509,06:54:49,7627,200,788,12713,
510,06:55:04,7642,200,754,12713,
511,06:55:20,7658,200,1814,12713,
512,06:55:35,7673,200,1781,12713,
513,06:55:49,7687,200,271,12713,
514,06:56:04,7702,200,326,12713,
515,06:56:19,7717,200,799,12713,
516,06:56:34,7732,200,739,12713,
517,06:56:49,7747,200,560,12713,
518,06:57:04,7762,200,636,12713,
519,06:57:19,7777,200,691,12713,
520,06:57:34,7792,200,735,12713,
521,06:57:50,7808,200,1726,12713,
522,06:58:05,7823,200,1766,12713,
523,06:58:19,7837,200,810,12713,
524,06:58:34,7852,200,747,12713,
525,06:58:49,7867,200,805,12713,
526,06:59:05,7883,200,1777,12713,
527,06:59:20,7898,200,1723,12713,
528,06:59:34,7912,200,743,12713,
529,06:59:50,7927,200,1105,12713,
530,07:00:05,7943,200,1464,12713,
531,07:00:20,7958,200,1726,12713,
532,07:00:35,7973,200,1806,12713,
533,07:00:49,7987,200,711,12713,
534,07:01:04,8002,200,762,12713,
535,07:01:19,8017,200,712,12713,
536,07:01:34,8032,200,756,12713,
537,07:01:50,8048,200,1757,12713,
538,07:02:05,8063,200,1789,12713,
539,07:02:20,8078,200,1743,12713,
540,07:02:34,8092,200,756,12713,
541,07:02:49,8107,200,733,12713,
542,07:03:04,8122,200,769,12713,
543,07:03:20,8138,200,1730,12713,
544,07:03:35,8153,200,1677,12713,
545,07:03:50,8168,200,1187,12713,
546,07:04:05,8183,200,1690,12713,
547,07:04:19,8197,200,720,12713,
548,07:04:34,8212,200,666,12713,
549,07:04:49,8227,200,712,12713,
550,07:05:05,8243,200,1688,12713,
551,07:05:20,8258,200,1746,12713,
552,07:05:35,8273,200,1687,12713,
553,07:05:50,8288,200,1742,12713,
554,07:06:05,8303,200,1715,12713,
555,07:06:19,8316,200,102,12713,
556,07:06:34,8331,200,148,12713,
557,07:06:49,8347,200,231,12713,
558,07:07:04,8362,200,679,12713,
559,07:07:19,8377,200,722,12713,
560,07:07:34,8392,200,673,12713,
561,07:07:49,8407,200,755,12713,
562,07:08:05,8423,200,1699,12713,
563,07:08:19,8437,200,613,12713,
564,07:08:34,8452,200,683,12713,
565,07:08:49,8466,200,41,12713,
566,07:09:05,8483,200,1726,12713,
567,07:09:20,8498,200,1662,12713,
568,07:09:35,8513,200,1719,12713,
569,07:09:50,8528,200,1659,12713,
570,07:10:04,8542,200,687,12713,
571,07:10:19,8557,200,630,12713,
572,07:10:34,8572,200,693,12713,
573,07:10:50,8588,200,1254,12713,
574,07:11:05,8603,200,1324,12713,
575,07:11:20,8618,200,1672,12713,
576,07:11:34,8632,200,692,12713,
577,07:11:50,8648,200,1673,12713,
578,07:12:05,8663,200,1620,12713,
579,07:12:20,8678,200,1664,12713,
580,07:12:34,8692,200,721,12713,
581,07:12:50,8708,200,1679,12713,
582,07:13:05,8723,200,1624,12713,
583,07:13:19,8737,200,644,12713,
584,07:13:34,8752,200,705,12713,
585,07:13:50,8768,200,1686,12713,
586,07:14:04,8782,200,696,12713,
587,07:14:20,8798,200,1682,12713,
588,07:14:35,8813,200,1632,12713,
589,07:14:50,8828,200,1678,12713,
590,07:15:04,8842,200,603,12713,
591,07:15:19,8857,200,652,12713,
592,07:15:34,8872,200,617,12713,
593,07:15:49,8887,200,667,12713,
594,07:16:04,8902,200,322,12713,
595,07:16:20,8918,200,1707,12713,
596,07:16:35,8933,200,1636,12713,
597,07:16:50,8948,200,1594,12713,
598,07:17:05,8963,200,1647,12713,
599,07:17:19,8977,200,656,12713,
600,07:17:34,8992,200,615,12713,
601,07:17:49,9007,200,694,12713,
602,07:18:04,9022,200,628,12713,
603,07:18:19,9037,200,675,12713,
604,07:18:34,9052,200,318,12713,
605,07:18:49,9067,200,343,12713,
606,07:19:04,9082,200,412,12713,
607,07:19:19,9097,200,463,12713,
608,07:19:35,9113,200,1643,12713,
609,07:19:49,9127,200,435,12713,
610,07:20:05,9143,200,1658,12713,
611,07:20:20,9158,200,1604,12713,
612,07:20:35,9173,200,1643,12713,
613,07:20:50,9188,200,1593,12713,
614,07:21:04,9202,200,637,12713,
615,07:21:19,9217,200,590,12713,
616,07:21:34,9232,200,639,12713,
617,07:21:49,9247,200,575,12713,
618,07:22:05,9263,200,1150,12713,
619,07:22:20,9278,200,1639,12713,
620,07:22:35,9293,200,1559,12713,
621,07:22:49,9307,200,574,12713,
622,07:23:04,9322,200,651,12713,
623,07:23:19,9337,200,590,12713,
624,07:23:34,9352,200,645,12713,
625,07:23:49,9367,200,589,12713,
626,07:24:04,9382,200,541,12713,
627,07:24:19,9397,200,588,12713,
628,07:24:35,9413,200,1594,12713,
629,07:24:49,9427,200,585,12713,
630,07:25:05,9443,200,1570,12713,
631,07:25:20,9458,200,1619,12713,
632,07:25:35,9473,200,1597,12713,
633,07:25:49,9487,200,598,12713,
634,07:26:04,9502,200,545,12713,
635,07:26:19,9517,200,597,12713,
636,07:26:34,9532,200,544,12713,
637,07:26:49,9547,200,598,12713,
638,07:27:04,9562,200,538,12713,
639,07:27:20,9578,200,1525,12713,
640,07:27:34,9592,200,559,12713,
641,07:27:50,9608,200,1541,12713,
642,07:28:05,9623,200,1591,12713,
643,07:28:20,9638,200,1547,12713,
644,07:28:35,9653,200,1154,12713,
645,07:28:50,9668,200,1545,12713,
646,07:29:04,9682,200,548,12713,
647,07:29:19,9696,200,102,12713,
648,07:29:34,9712,200,157,12713,
649,07:29:49,9727,200,198,12713,
650,07:30:04,9742,200,574,12713,
651,07:30:19,9757,200,497,12713,
652,07:30:34,9772,200,543,12713,
653,07:30:49,9787,200,525,12713,
654,07:31:04,9802,200,570,12713,
655,07:31:19,9817,200,511,12713,
656,07:31:34,9832,200,662,12713,
657,07:31:50,9848,200,1541,12713,
658,07:32:05,9863,200,1502,12713,
659,07:32:20,9878,200,1544,12713,
660,07:32:35,9893,200,1494,12713,
661,07:32:50,9907,200,1009,12713,
662,07:33:04,9922,200,583,12713,
663,07:33:19,9937,200,520,12713,
664,07:33:34,9952,200,570,12713,
665,07:33:49,9966,200,64,12713,
666,07:34:04,9982,200,472,12713,
667,07:34:19,9997,200,540,12713,
668,07:34:35,10013,200,1498,12713,
669,07:34:49,10027,200,548,12713,
670,07:35:05,10043,200,1498,12713,
671,07:35:20,10058,200,1545,12713,
672,07:35:34,10072,200,488,12713,
673,07:35:50,10088,200,1564,12713,
674,07:36:04,10102,200,485,12713,
675,07:36:20,10118,200,1465,12713,
676,07:36:35,10133,200,1515,12713,
677,07:36:49,10147,200,528,12713,
678,07:37:04,10162,200,482,12713,
679,07:37:19,10177,200,531,12713,
680,07:37:35,10193,200,1542,12713,
681,07:37:50,10208,200,1460,12713,
682,07:38:04,10222,200,499,12713,
683,07:38:19,10237,200,538,12713,
684,07:38:35,10253,200,1508,12713,
685,07:38:50,10268,200,1461,12713,
686,07:39:04,10282,200,462,12713,
687,07:39:20,10298,200,1469,12713,
688,07:39:35,10313,200,1522,12713,
689,07:39:50,10328,200,1457,12713,
690,07:40:04,10342,200,491,12713,
691,07:40:19,10357,200,437,12713,
692,07:40:34,10372,200,498,12713,
693,07:40:50,10388,200,1457,12713,
694,07:41:04,10402,200,211,12713,
695,07:41:19,10417,200,233,12713,
696,07:41:35,10433,200,1423,12713,
697,07:41:50,10448,200,1474,12713,
698,07:42:05,10463,200,1426,12713,
699,07:42:20,10478,200,1472,12713,
700,07:42:34,10492,200,511,12713,
701,07:42:49,10507,200,668,12713,
702,07:43:05,10523,200,1418,12713,
703,07:43:20,10538,200,1499,12713,
704,07:43:35,10553,200,1452,12713,
705,07:43:49,10567,200,454,12713,
706,07:44:04,10582,200,403,12713,
707,07:44:19,10597,200,455,12713,
708,07:44:34,10612,200,406,12713,
709,07:44:50,10628,200,1187,12713,
710,07:45:04,10642,200,416,12713,
711,07:45:19,10657,200,451,12713,
712,07:45:34,10672,200,418,12713,
713,07:45:49,10687,200,476,12713,
714,07:46:04,10702,200,416,12713,
715,07:46:19,10717,200,470,12713,
716,07:46:35,10733,200,1433,12713,
717,07:46:50,10748,200,1397,12713,
718,07:47:04,10762,200,416,12713,
719,07:47:19,10777,200,492,12713,
720,07:47:34,10792,200,429,12713,
721,07:47:49,10806,200,56,12713,
